City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Stromness,GB,2021-08-05 01:24:15,58.965,-3.296,57.45,90,100,6.8
258,Menomonie,US,2021-08-05 01:25:24,44.8755,-91.9193,78.82,60,100,6.91
259,Richards Bay,ZA,2021-08-05 01:25:24,-28.783,32.0377,60.55,81,0,9.01
260,Mersing,MY,2021-08-05 01:25:25,2.4312,103.8405,80.51,83,40,5.75
261,Ayni,TJ,2021-08-05 01:25:25,39.3941,68.5377,65.41,60,44,2.37
262,Teguldet,RU,2021-08-05 01:25:25,57.3064,88.1667,59.94,94,98,2.48
263,Port Elizabeth,ZA,2021-08-05 01:21:00,-33.918,25.5701,61.09,94,40,8.05
264,Sterling,US,2021-08-05 01:22:17,39.0062,-77.4286,74.41,66,20,4.61
265,Sola,VU,2021-08-05 01:25:26,-13.8833,167.55,77.22,77,56,8.12
266,Salinas,US,2021-08-05 01:25:26,36.6777,-121.6555,84.04,74,75,13.8
267,Leningradskiy,RU,2021-08-05 01:25:27,69.3833,178.4167,43.47,85,100,4.23
268,Ocampo,MX,2021-08-05 01:25:27,21.65,-101.5,59.77,88,100,4.79
269,Vao,NC,2021-08-05 01:25:27,-22.6667,167.4833,69.49,73,30,14.32
270,Morshyn,UA,2021-08-05 01:25:27,49.1565,23.8723,62.47,83,100,2.71
271,Omboue,GA,2021-08-05 01:25:28,-1.5746,9.2618,76.06,78,100,9.26
272,Phuket,TH,2021-08-05 01:25:28,8.0,98.25,84.09,89,40,11.5
273,Port Blair,IN,2021-08-05 01:23:45,11.6667,92.75,82.0,84,100,20.2
274,Miri,MY,2021-08-05 01:25:12,4.4148,114.0089,84.34,79,20,6.91
275,Lima,PE,2021-08-05 01:20:35,-12.0432,-77.0282,61.05,82,90,3.44
276,Mwanza,TZ,2021-08-05 01:25:29,-2.5167,32.9,69.91,63,0,8.32
277,Qaqortoq,GL,2021-08-05 01:25:29,60.7167,-46.0333,45.1,85,100,4.23
278,Bilibino,RU,2021-08-05 01:25:29,68.0546,166.4372,52.79,66,100,5.93
279,Namatanai,PG,2021-08-05 01:25:30,-3.6667,152.4333,84.33,72,45,4.83
280,Urumqi,CN,2021-08-05 01:22:37,43.801,87.6005,79.75,30,0,13.42
281,Zelenoborskiy,RU,2021-08-05 01:25:30,66.845,32.3622,45.88,80,100,10.07
282,Nanakuli,US,2021-08-05 01:25:30,21.3906,-158.1547,87.75,58,40,14.97
283,Castro Alves,BR,2021-08-05 01:24:30,-12.7656,-39.4283,62.98,96,100,5.73
284,Atar,MR,2021-08-05 01:23:12,20.5169,-13.0499,93.94,30,0,7.61
285,Owando,CG,2021-08-05 01:25:31,-0.4819,15.8999,73.2,46,6,3.44
286,Los Llanos De Aridane,ES,2021-08-05 01:23:23,28.6585,-17.9182,67.75,91,20,12.66
287,Amapa,BR,2021-08-05 01:24:13,1.0,-52.0,71.51,97,100,2.06
288,Lishui,CN,2021-08-05 01:25:31,28.4604,119.9103,78.06,97,100,1.45
289,Belmonte,BR,2021-08-05 01:25:32,-15.8631,-38.8828,68.5,84,100,12.15
290,Lasa,IT,2021-08-05 01:23:43,46.6166,10.7002,56.28,99,100,5.5
291,Praia Da Vitoria,PT,2021-08-05 01:24:12,38.7333,-27.0667,73.65,83,0,10.38
292,Puerto Princesa,PH,2021-08-05 01:20:34,9.7392,118.7353,85.78,64,59,3.15
293,Kiunga,PG,2021-08-05 01:25:32,-6.1219,141.2906,77.88,93,96,3.22
294,Kavieng,PG,2021-08-05 01:23:57,-2.5744,150.7967,83.32,72,20,4.29
