City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Dudinka,RU,69.4058,86.1778,63.81,63,95,5.5,overcast clouds
207,Clyde River,CA,70.4692,-68.5914,39.43,100,90,11.5,mist
208,Sungairaya,ID,0.7,108.9,77.13,86,100,6.08,overcast clouds
209,Vieques,PR,18.425,-65.8329,91.85,70,40,19.57,scattered clouds
210,Mount Gambier,AU,-37.8333,140.7667,49.91,87,90,6.91,overcast clouds
211,Chuy,UY,-33.6971,-53.4616,60.51,82,93,9.08,overcast clouds
212,Trairi,BR,-3.2778,-39.2689,81.54,67,95,13.67,overcast clouds
213,Yumen,CN,40.2833,97.2,73.76,16,89,5.91,overcast clouds
214,Mattru,SL,7.6244,-11.8332,73.02,95,100,3.83,light rain
215,Lodwar,KE,3.1191,35.5973,87.04,34,22,7.09,few clouds
216,Tam Ky,VN,15.5667,108.4833,87.78,70,100,6.44,overcast clouds
217,San Isidro,PE,-12.1167,-77.05,69.26,71,75,1.99,broken clouds
218,Huangpi,CN,30.8845,114.3779,82.51,89,0,4.47,clear sky
219,Pafos,CY,34.7667,32.4167,84.11,94,20,5.75,few clouds
220,Ivankiv,UA,50.9386,29.8943,75.6,84,60,6.76,broken clouds
221,Pochutla,MX,15.7432,-96.4661,84.81,61,90,5.66,overcast clouds
222,Mayo,US,38.8876,-76.5119,90.39,51,0,1.01,clear sky
223,Brindisi,IT,40.5833,17.6667,81.79,32,99,13.6,overcast clouds
224,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,93,20,14.97,few clouds
225,Sinnamary,GF,5.3833,-52.95,81.5,81,44,5.39,scattered clouds
226,Timra,SE,62.487,17.3257,62.67,88,0,5.75,clear sky
227,Sibolga,ID,1.7427,98.7792,77.32,85,100,2.8,overcast clouds
228,Kudymkar,RU,59.0173,54.656,53.65,87,4,6.49,clear sky
229,Lokosovo,RU,61.1333,74.8167,57.74,89,2,3.31,clear sky
230,Yar-Sale,RU,66.8333,70.8333,61.63,74,81,7.18,broken clouds
231,Parabel,RU,58.6978,81.4825,58.08,95,100,5.61,overcast clouds
232,Hobyo,SO,5.3505,48.5268,76.42,81,77,28.54,broken clouds
233,Sindor,RU,62.8629,51.8905,47.66,82,0,4.45,clear sky
234,Gudari,IN,19.35,83.7833,77.95,88,88,1.52,overcast clouds
235,Jamsa,FI,61.8642,25.19,57.92,64,21,2.84,few clouds
236,Tiksi,RU,71.6872,128.8694,41.34,86,100,9.53,overcast clouds
237,Sola,VU,-13.8833,167.55,77.83,75,28,2.91,scattered clouds
238,Chippewa Falls,US,44.9369,-91.3929,69.98,89,90,12.66,overcast clouds
239,Mana,GF,5.6592,-53.7767,81.7,80,46,6.02,scattered clouds
240,Bandarbeyla,SO,9.4942,50.8122,76.64,83,78,32.99,broken clouds
241,Toribio,CO,2.9548,-76.2684,78.26,45,45,1.48,scattered clouds
242,Salinas,US,36.6777,-121.6555,82.58,68,1,11.5,clear sky
243,Sterling,US,39.0062,-77.4286,90.25,42,20,1.99,few clouds
244,Saint-Joseph,RE,-21.3667,55.6167,66.56,77,19,11.9,few clouds
245,Movila Banului,RO,44.9833,26.6833,88.16,53,96,9.08,light rain
246,Ambilobe,MG,-13.2,49.05,68.63,72,37,3.22,scattered clouds
247,Camargo,MX,27.6667,-105.1667,84.92,38,50,6.24,scattered clouds
248,Sibu,MY,2.3,111.8167,77.31,100,40,1.99,scattered clouds
249,Pinar Del Rio,CU,22.4175,-83.6981,85.73,66,68,3.29,broken clouds
250,Ostersund,SE,63.1792,14.6357,61.61,63,90,10.36,overcast clouds
251,Vardo,NO,70.3705,31.1107,55.15,87,75,6.91,broken clouds
252,Ponta Do Sol,PT,32.6667,-17.1,75.83,83,29,1.5,scattered clouds
253,Pontianak,ID,-0.0333,109.3333,75.18,94,75,2.3,broken clouds
254,Sobolevo,RU,54.4299,31.8996,60.53,85,99,2.51,overcast clouds
255,Ochakiv,UA,46.6128,31.5498,77.14,85,36,13.49,scattered clouds
256,Broken Hill,AU,-31.95,141.4333,51.51,82,90,8.05,overcast clouds
257,Maungatapere,NZ,-35.75,174.2,48.07,80,96,5.48,overcast clouds
258,Bonfim,BR,3.0833,-59.95,86.72,60,79,6.26,broken clouds
259,Monmouth,US,40.3001,-74.1663,86.02,62,90,4.61,overcast clouds
260,Mukhen,RU,48.1,136.1,68.18,97,100,2.55,light rain
261,Salalah,OM,17.0151,54.0924,80.69,89,90,6.91,overcast clouds
262,Westport,US,41.1415,-73.3579,81.95,73,90,1.99,overcast clouds
263,Havoysund,NO,70.9963,24.6622,53.83,93,89,6.26,overcast clouds
264,Jizan,SA,17.3333,42.6667,85.14,48,100,0.78,overcast clouds
265,Andrelandia,BR,-21.7397,-44.3092,64.26,53,100,9.08,overcast clouds
266,Rio Grande,BR,-32.035,-52.0986,64.51,87,100,12.73,overcast clouds
267,Libreville,GA,0.3925,9.4537,75.22,88,40,10.36,scattered clouds
268,Pilar,BR,-9.5972,-35.9567,76.93,85,56,7.87,broken clouds
269,Kysyl-Syr,RU,63.8986,122.7617,53.01,49,0,6.62,clear sky
270,Kaitangata,NZ,-46.2817,169.8464,43.93,87,71,4.99,broken clouds
271,Bilibino,RU,68.0546,166.4372,52.09,74,21,4.72,few clouds
272,Pasighat,IN,28.0667,95.3333,77.4,93,46,4.52,scattered clouds
273,Balkanabat,TM,39.5108,54.3671,91.47,27,0,7.14,clear sky
274,Katghora,IN,22.5,82.55,75.49,97,99,2.13,overcast clouds
275,Sanok,PL,49.5557,22.2056,65.43,100,85,10.76,overcast clouds
276,Mtsensk,RU,53.2766,36.5733,63.59,75,100,6.2,light rain
277,Lima,PE,-12.0432,-77.0282,68.14,68,75,11.5,broken clouds
278,Zuenoula,CI,7.4292,-6.0431,76.8,75,94,4.41,overcast clouds
279,Arlit,NE,18.7369,7.3853,88.7,43,20,17.22,few clouds
280,Sault Sainte Marie,CA,46.5168,-84.3333,84.49,50,1,12.66,haze
281,Kholtoson,RU,50.2981,103.3097,53.2,94,92,0.6,overcast clouds
282,Ancud,CL,-41.8697,-73.8203,53.42,87,100,8.84,overcast clouds
283,Djenne,ML,13.9061,-4.5533,89.73,46,100,6.89,overcast clouds
284,Abu Samrah,SY,35.3029,37.1841,85.17,37,2,10.71,clear sky
285,Camacha,PT,33.0833,-16.3333,71.02,88,75,11.5,broken clouds
286,Salina Cruz,MX,16.1667,-95.2,86.07,61,100,2.17,overcast clouds
287,Geraldton,AU,-28.7667,114.6,45.01,81,0,6.91,clear sky
288,San Quintin,MX,30.4833,-115.95,74.39,70,7,11.88,clear sky
289,Nandu,CN,22.8525,110.8233,77.27,97,100,3.06,overcast clouds
290,Kaifeng,CN,34.7911,114.3483,76.06,75,0,2.59,clear sky
291,Taoudenni,ML,22.6783,-3.9836,109.09,9,5,9.89,clear sky
292,Kroya,ID,-7.6331,109.2461,75.76,90,68,4.29,broken clouds
293,Betamcherla,IN,15.4667,78.1667,78.21,73,80,18.5,broken clouds
294,West Odessa,US,31.8424,-102.4988,87.85,41,1,6.91,clear sky
295,Hangu,CN,39.2489,117.7892,72.05,90,4,5.64,light rain
296,Jacareacanga,BR,-6.2222,-57.7528,98.91,30,0,5.75,clear sky
297,Ahuimanu,US,21.4447,-157.8378,82.11,68,90,11.5,overcast clouds
